"Full_Address","latitude","longitude"
"601 BAYOU CASOTTE PKWY, PASCAGOULA, MS 39581",30.3662075,-88.5092829
"900 BAYOU CASOTTE PARKWAY, PASCAGOULA, MS 39581",30.3662075,-88.5092829
"911 FRONT ST S, LAUREL, MS 39443",NA,NA
"600 HWY 32 E, WATER VALLEY, MS 38965",NA,NA
"10136 MAGNOLIA DR, OLIVE BRANCH, MS 38654",34.9550528,-89.8075974
"50 MIDLAND ROAD, SCOOBA, MS 39358",NA,NA
"21 MORAN RD, NATCHEZ, MS 39120",NA,NA
"149 AUBURN DR SW, BOGUE CHITTO, MS 39629",NA,NA
"1600 EDWARDS ST, HATTIESBURG, MS 39401",31.3016045,-89.284795
"13121 WEBRE RD, BAY SAINT LOUIS, MS 39520",NA,NA
"13121 WEBRE RD -, BAY SAINT LOUIS, MS 39520",NA,NA
"13121 WEBRE ROAD, BAY ST. LOUIS, MS 39520",NA,NA
"500 LETOURNEAU RD, VICKSBURG, MS 39180",NA,NA
"7100 HIGHWAY 178 WEST, BYHALIA, MS 38611",NA,NA
"1201 SCOTT ST, SENATOBIA, MS 38668",34.6085901,-89.9553361
"184 LIPFORD RD, VERONA, MS 38879",NA,NA
"1513 NORTH MAGNOLIA DRIVE, WIGGINS, MS 39577",30.8789419,-89.1606476
"36 COUNTY RD 166, OXFORD, MS 38655",NA,NA
"100 CATERPILLAR DR, BOONEVILLE, MS 38829",NA,NA
"501 CARDINAL DR, CORINTH, MS 38834",34.9145023,-88.5297177
"501 CARDINAL DR -, CORINTH, MS 38834",34.9145023,-88.5297177
"4554 STATE HWY 12 E, BELZONI, MS 39038",NA,NA
"700 HWY 33 S, CENTREVILLE, MS 39631",NA,NA
"4608 HIGHWAY 49 E, YAZOO CITY, MS 39194",NA,NA
"MS-19 N, MERIDIAN, MS 39301",32.363778,-88.6657234
"3870 HWY 84 E, LAUREL, MS 39443",NA,NA
"7685 KILN DELISLE RD, PASS CHRISTIAN, MS 39571",NA,NA
"1250 N FIRST ST, BROOKHAVEN, MS 39601",NA,NA
"250 IND US TRIAL RD, PASCAGOULA, MS 39581",NA,NA
"250 INDUSTRIAL RD, PASCAGOULA, MS 39581",30.3551524,-88.4932811
"2391 PENSACOLA RD, ACKERMAN, MS 39735",NA,NA
"260 HIGHWAY 35 NORTH, BATESVILLE, MS 38606",NA,NA
"540 S INDUSTRIAL PARK RD, HOLLY SPRINGS, MS 38635",34.7570945,-89.4339003
"219 DAVID WORK DRIVE, ROSEDALE, MS 38769",NA,NA
"219 TERMINAL RD, ROSEDALE, MS 38769",NA,NA
"4429 HIGHWAY 84, WAYNESBORO, MS 39367",NA,NA
"20 HILLCREST LANE, COLUMBIA, MS 39429",NA,NA
"114 BRICKYARD RD, COLUMBUS, MS 39701",33.5163969,-88.4153599
"4335 CARSON RD, COLUMBUS, MS 39701",NA,NA
"4335 CARSON RD, COLUMBUS, MS 39703",NA,NA
"4335 CARSON RD -, COLUMBUS, MS 39703",NA,NA
